"id","code","group_id/id","name","user_type_id/id","reconcile","chart_template_id/id"
"pcg_10000000","10000000","","COMPTES DE FINANCEMENT PERMANENT","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11000000","11000000","","CAPITAUX PROPRES","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11100000","11100000","account.data_account_group_111","Capital social ou personnel","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11110000","11110000","account.data_account_group_111","Capital social","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11120000","11120000","account.data_account_group_111","Fonds de dotation","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11170000","11170000","account.data_account_group_111","Capital personnel","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11171000","11171000","account.data_account_group_111","Capital individuel","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11175000","11175000","account.data_account_group_111","Compte de l'exploitant","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11190000","11190000","account.data_account_group_111","Actionnaires, capital souscrit-non appelé","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11200000","11200000","account.data_account_group_112","Primes d'émission, de fusion et d'apport","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11210000","11210000","account.data_account_group_112","Primes d'émission","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11220000","11220000","account.data_account_group_112","Primes de fusion","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11230000","11230000","account.data_account_group_112","Primes d'apport","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11300000","11300000","account.data_account_group_113","Ecarts de réévaluation","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11400000","11400000","account.data_account_group_114","Réserve légale","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11500000","11500000","account.data_account_group_115","Autres réserves","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11510000","11510000","account.data_account_group_115","Réserves statutaires ou contractuelles","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11520000","11520000","account.data_account_group_115","Réserves facultatives","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11550000","11550000","account.data_account_group_115","Réserves réglementées","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
"pcg_11600000","11600000","account.data_account_group_116","Report à nouveau","account.data_account_type_equity","FAUX","l10n_ma_temp_chart"
